id_questao;missao;pergunta;alternativa_certa;texto_alternativa_a;texto_alternativa_b;texto_alternativa_c;texto_alternativa_d;texto_alternativa_e;texto_alternativa_certa
"M7_Q16";7;"Qual dos seguintes e um exemplo de "regra" em Prolog";"a";"`avo(X Z) :- pai(X Y) pai(Y Z)`";"`pai(joao maria)`";"`?- pai(joao X)`";"`X is 5 + 3`";"`list(1 2 3)`";"`avo(X Z) :- pai(X Y) pai(Y Z)`"
"M7_Q17";7;"Qual e a principal aplicacao das linguagens de programacao logica";"d";"Desenvolvimento de jogos";"Programacao de sistemas embarcados";"Aplicativos web";"Inteligencia artificial e sistemas especialistas";"Processamento de planilhas";"Inteligencia artificial e sistemas especialistas"
"M7_Q18";7;"O que acontece se uma consulta em Prolog nao encontra nenhuma unificacao possivel";"c";"O programa continua a execucao";"O Prolog retorna um erro de sintaxe";"O Prolog retorna `false`";"O Prolog entra em um loop infinito";"O programa retorna o valor `true`";"O Prolog retorna `false`"
"M7_Q19";7;"Qual a principal diferenca entre a recursao e a iteracao em Prolog";"b";"Prolog usa apenas iteracao";"Prolog usa a recursao como sua principal forma de iteracao";"A iteracao e mais eficiente em Prolog";"A recursao nao e suportada em Prolog";"A iteracao e mais facil de ser escrita";"Prolog usa a recursao como sua principal forma de iteracao"
"M7_Q20";7;"Qual e o nome do programa que executa o codigo Prolog";"a";"Interpretador";"Compilador";"Tradutor";"Assembler";"Linker";"Interpretador"
id_questao;missao;pergunta;alternativa_Certa(apenas o char);texto alternativa_a;texto alternativa_b;texto alternativa_c;texto alternativa_d;texto alternativa_e;texto_alternativa_certa
"C3_Q01";-3;"O que e um "atomo" em Prolog";"b";"Uma variavel que pode ser unificada com qualquer coisa";"Um nome simbolico que comeca com letra minuscula";"Um comando que executa uma funcao";"Uma estrutura de dados mutavel";"Um valor booleano";"Um nome simbolico que comeca com letra minuscula"
"C3_Q02";-3;"Em Prolog qual a funcao da "unificacao"";"e";"Atribuir valores a atomos";"Executar um comando em sequencia";"Gerar um erro de sintaxe";"Definir um novo fato";"Combinar dois termos e atribuir valores a variaveis";"Combinar dois termos e atribuir valores a variaveis"
"C3_Q03";-3;"Qual o resultado da consulta `?- 2 + 3 is X` em Prolog";"c";"`X = 2 + 3`";"`false`";"`X = 5`";"Um erro de sintaxe";"`true`";"`X = 5`"
"C3_Q04";-3;"Qual o papel do "backtracking" em Prolog";"a";"Buscar solucoes alternativas quando uma meta falha";"Otimizar a execucao do codigo";"Realizar a soma de valores";"Permitir a criacao de listas";"Transformar um fato em uma regra";"Buscar solucoes alternativas quando uma meta falha"
"C3_Q05";-3;"O que e uma "regra" em Prolog";"d";"Uma declaracao que e sempre verdadeira";"Uma pergunta ao sistema";"Uma lista de argumentos";"Uma afirmacao condicional formada por uma cabeca e um corpo";"Uma operacao matematica";"Uma afirmacao condicional formada por uma cabeca e um corpo"
"C3_Q06";-3;"O que o operador de "corte" (!) faz";"b";"Forca a busca de todas as solucoes possiveis";"Impede que o Prolog volte para as metas a sua esquerda";"Inicia uma nova consulta";"Permite a atribuicao de valores";"Declara uma nova regra";"Impede que o Prolog volte para as metas a sua esquerda"
"C3_Q07";-3;"Como a recursao e utilizada para percorrer uma lista em Prolog";"c";"Atraves de um loop `for`";"Atraves do operador `is`";"Utilizando a cabeca e a cauda da lista";"Por meio de um fato";"Com o uso do operador `!`";"Utilizando a cabeca e a cauda da lista"
"C3_Q08";-3;"O que e uma "variavel anonima" em Prolog representada por `_`";"a";"Uma variavel que nao sera usada e nao precisa ser unificada";"Uma variavel que armazena um atomo";"Uma variavel que deve ser unificada";"Uma variavel de escopo global";"Uma variavel que armazena um valor booleano";"Uma variavel que nao sera usada e nao precisa ser unificada"
"C3_Q09";-3;"Em Prolog como se representa o operador de negacao por falha";"e";"Usando a palavra-chave `not`";"Usando o operador `!`";"Com o operador `is`";"Com a palavra-chave `fail`";"Usando a meta `\+`";"Usando a meta `\+`"
"C3_Q10";-3;"Qual e a principal diferenca entre um termo e um atomo em Prolog";"c";"Um termo pode ser uma variavel enquanto um atomo nao";"Um atomo pode ser uma variavel enquanto um termo nao";"Um atomo e um tipo de termo mas um termo pode ser mais complexo";"Nao ha diferenca entre eles";"Um termo comeca com letra minuscula e um atomo com maiuscula";"Um atomo e um tipo de termo mas um termo pode ser mais complexo"
"C3_Q11";-3;"O que significa uma consulta retornar `false` em Prolog";"b";"Que a consulta e semanticamente incorreta";"Que a meta nao pode ser provada com base nos fatos e regras";"Que ocorreu um erro de compilacao";"Que o codigo precisa de um `cut`";"Que a variavel foi unificada";"Que a meta nao pode ser provada com base nos fatos e regras"
"C3_Q12";-3;"Qual a principal desvantagem do uso excessivo do operador de "corte" em Prolog";"a";"Pode levar a solucoes incompletas ou incorretas";"Melhora a legibilidade do codigo";"Aumenta a flexibilidade do programa";"Melhora o desempenho da unificacao";"Permite o backtracking";"Pode levar a solucoes incompletas ou incorretas"
"C3_Q13";-3;"O que e uma "meta" em Prolog";"d";"Uma variavel com nome";"Um fato";"Uma regra";"Um objetivo a ser provado pelo interpretador";"Um tipo de dado";"Um objetivo a ser provado pelo interpretador"
"C3_Q14";-3;"Na logica de primeira ordem qual dos seguintes e um tipo de termo";"e";"Declaracao";"Comando";"Atribuicao";"Variavel global";"Atomos e variaveis";"Atomos e variaveis"
"C3_Q15";-3;"Para que serve o predicado `fail` em Prolog";"c";"Para declarar uma nova variavel";"Para forcar uma unificacao";"Para forcar o backtracking";"Para somar dois numeros";"Para iniciar uma nova regra";"Para forcar o backtracking"
"C3_Q16";-3;"Em Prolog qual e a diferenca entre `==` e `is`";"b";"`==` compara valores `is` realiza unificacao";"`==` compara termos `is` avalia expressoes aritmeticas";"`==` e para numeros `is` e para strings";"`==` e um operador logico `is` e de atribuicao";"Nao ha diferenca entre eles";"`==` compara termos `is` avalia expressoes aritmeticas"
"C3_Q17";-3;"Como se representa um comentario de uma unica linha em Prolog";"a";"`%`";"`//`";"`--`";"`#`";"`/* */`";"`%`"
"C3_Q18";-3;"Qual dos seguintes e um predicado de entrada e saida em Prolog";"d";"`sum`";"`head`";"`father`";"`write`";"`is`";"`write`"
"C3_Q19";-3;"O que e a "clausula de Horn"";"c";"Um tipo de dado";"Um comando de atribuicao";"Uma forma de representacao utilizada em programacao logica";"Uma regra sem corpo";"Um fato com varias cabecas";"Uma forma de representacao utilizada em programacao logica"
"C3_Q20";-3;"Qual a ordem de avaliacao de metas em uma regra Prolog";"b";"Da direita para a esquerda";"Da esquerda para a direita";"De forma aleatoria";"Do topo para o final da regra";"De baixo para cima";"Da esquerda para a direita"
